search_name,advanced_phrase,
Alfa Romeo Earned,"(""Alfa Romeo"":field=title OR #alfraromeo):language=de ↵↵AND NOT (114644448629784 OR twitter.com/alfa_romeo_de OR ""RT @*"" OR (alfa_romeo_de:field=author AND instagram.com:field=url))",
Toyota Deutschland Twitter,(twitter.com/Toyota_DE OR @Toyota_DE):segment=Microblog,
Toyota Earned,"(Toyota:field=title  OR #toyota):language=de ↵↵AND NOT (274880759207660 OR twitter.com/Toyota_DE OR @Toyota_DE OR ""RT @*"")",
Hyundai Deutschland Twitter,(twitter.com/Hyundai_DE OR @Hyundai_DE):segment=Microblog,
Hyundai Earned,"(Hyundai:field=title OR #hyundai):language=de ↵↵AND NOT (113698561985108 OR twitter.com/Hyundai_DE OR @Hyundai_DE OR ""RT @*"")",
SAIC,"(""Shanghai Automotive Industry Corporation"" OR SAIC:case sensitive=true):language=de",
Streik-Risiken bei Zulieferern,"(""Warnstreik*"" OR ""Streik*"" OR ""Generalstreik*"" OR ""Arbeitsniederlegung*"" OR ""Lohnkampf*"" OR ""Arbeitskampf*"" OR ""Tarifverhandlung*"" OR ""Arbeitsbedingungen*"" OR ""Lohnsteigerung*"")↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):language=de↵↵AND NOT (""RT @*"" OR ""Nils Freudenberg"" OR m/w OR w/m OR job*:field=url OR *job:field=url OR ""magna cum laude"" OR (michelin NEAR/5 (*stern* OR Führer)) OR ↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):field=author↵↵)",
Compliance-Risiken bei Zulieferern,"(""Compliance*"" OR ""Korruption*"" OR ""Rechtsverstoß"" OR ""Untreue*"" OR ""Veruntreuung*"" OR ""Vorteilsgewährung*"" OR ""Vorteilsannahme*"" OR ""Bestechung*"" OR ""Bestechlich*"" OR ""Geldwäsche*"" OR ""Schwarze Kasse"" OR ""Schmiergeld*"" OR ""Unrechtsvereinbarung*"" OR ""Schmiergeldaffäre*"" OR ""illegale Zahlung*"" OR ""Wettbewerbsverzerrung"" OR ""Korruptionsverdacht*"" OR ""illegale Absprache*"" OR ""Marktmanipulation*"" OR ""Bilanzfälschung*""):field=title↵↵NEAR/10↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon"")↵↵AND NOT (""RT @*"")",
Compliance-Risiken bei Zulieferern,"(""Compliance*"" OR ""Korruption*"" OR ""Rechtsverstoß"" OR ""Untreue*"" OR ""Veruntreuung*"" OR ""Vorteilsgewährung*"" OR ""Vorteilsannahme*"" OR ""Bestechung*"" OR ""Bestechlich*"" OR ""Geldwäsche*"" OR ""Schwarze Kasse"" OR ""Schmiergeld*"" OR ""Unrechtsvereinbarung*"" OR ""Schmiergeldaffäre*"" OR ""illegale Zahlung*"" OR ""Wettbewerbsverzerrung"" OR ""Korruptionsverdacht*"" OR ""illegale Absprache*"" OR ""Marktmanipulation*"" OR ""Bilanzfälschung*""):field=title;language=de↵↵AND↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon"")↵↵AND NOT (""RT @*"" OR ""Nils Freudenberg"" OR m/w OR w/m OR job*:field=url OR *job:field=url OR ""magna cum laude"" OR (michelin NEAR/5 (*stern* OR Führer)) OR ↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):field=author↵↵)",
Lada Deutschland Twitter,(twitter.com/LadaDeutschland OR @LadaDeutschland):segment=Microblog,
Lada Earned,"(Lada:field=title OR #Lada):language=de ↵↵AND NOT (148239485238436 OR twitter.com/LadaDeutschland OR @LadaDeutschland OR ""RT @*"")",
Chevrolet Europe Twitter,(twitter.com/chevroleteurope OR @chevroleteurope):segment=Microblog,
Chevrolet Earned,"(Chevrolet:field=title OR #chevrolet):language=de ↵↵AND NOT (274226426275469 OR twitter.com/chevroleteurope OR @chevroleteurope OR ""RT @*"")",
Ford Deutschland Twitter,(twitter.com/Ford_de OR @Ford_de):segment=Microblog,
Ford Earned,"(Ford:field=title OR #ford):language=de ↵↵AND NOT (170095843033454 OR twitter.com/Ford_de OR @Ford_de OR ""RT @*"")",
Bosch,Bosch:language=de,
Continental,Continental:language=de,
Denso,Denso:language=de,
ZF Friedrichshafen,ZF Friedrichshafen:language=de,
Magna,Magna:language=de,
Aisin,Aisin:language=de,
Hyundai Mobis,Hyundai Mobis:language=de,
Bridgestone,Bridgestone:language=de,
Faurecia,Faurecia:language=de,
Valeo,Valeo:language=de,
Lear,Lear:language=de,
Cummins,Cummins:language=de,
Adient,Adient:language=de,
Goodyear,Goodyear:language=de,
Mahle DE,Mahle DE:language=de,
Weichai Power,Weichai Power:language=de,
Sumitomo Electric,Sumitomo Electric:language=de,
Yazaki,Yazaki:language=de,
Mahle,Mahle:language=de,
Fahrassistenzsysteme,(fahrassistenzsystem* OR fahrassistenzsysteme):language=de,
E-Mobility,"(emobility OR e-mobility OR ""e mobility""):language=de",
E-Mobility,"(↵    emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*↵):language=de",
Management-Risiken bei Zulieferern,"(↵↵(Übergabe* OR übergibt OR verlassen OR verlässt OR Wechsel OR neu* OR übernimmt OR abschied OR verabschiedet OR entlässt OR entlassen)↵    NEAR/5↵(Vorstand OR Eigentümer* OR Führung* OR Leitung OR Leiter* OR Vorsitz* OR geschäftsführer* OR geschäftsführung* OR chef OR Aufsichtsrat*)↵↵):field=title;language=de↵↵AND↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon"")↵↵AND NOT (""RT @*"" OR ""Nils Freudenberg"" OR m/w OR w/m OR job*:field=url OR *job:field=url OR ""magna cum laude"" OR (michelin NEAR/5 (*stern* OR Führer)) OR ↵↵(""Bosch"" OR ""Continental"" OR ""Denso"" OR ""ZF Friedrichshafen"" OR ""Magna"" OR ""Aisin"" OR ""Hyundai Mobis"" OR ""Bridgestone"" OR ""Firestone"" OR ""Michelin"" OR ""Faurecia"" OR ""Valeo"" OR ""Lear"" OR ""Cummins"" OR ""Adient"" OR ""Goodyear"" OR ""Mahle DE"" OR ""Weichai Power"" OR ""Sumitomo Electric"" OR ""Yazaki"" OR ""Schaeffler"" OR ""Aptiv"" OR ""Toyota Boshoku"" OR ""Panasonic"" OR ""Autoliv"" OR ""Magneti Marelli"" OR ""Gestamp"" OR ""BorgWarner"" OR ""Tenneco"" OR ""Thyssen Krupp Automotive"" OR ""Hitachi"" OR ""GKN"":case sensitive=true OR ""Yanfeng Automotive Interiors"" OR ""Calsonic"" OR ""Federal Mogul"" OR ""JTEKT"":case sensitive=true OR ""Koito Manufacturing"" OR ""Plastic Omnium"" OR ""Hella"" OR ""Johnson Controls"" OR ""Brose"" OR ""Benteler"" OR ""TE Connectivity"" OR ""Dana"" OR ""Samvardhana Motherson"" OR ""Toyoda Gosei"" OR ""Flex-N-Gate"" OR ""Sumitomo Rubber Industries"" OR ""NSK Group"" OR ""Pirelli"" OR ""Hankook Tires"" OR ""American Axle"" OR ""Grupo Antolin"" OR ""Hyundai WIA"" OR ""Mitsubishi Electric"" OR ""NTN"":case sensitive=true OR ""Eberspächer"" OR ""Harman"" OR ""Mando Corp."" OR ""Hanon Systems"" OR ""Freudenberg"" OR ""Dräxlmaier"" OR ""Delphi Technologies"" OR ""Alps Electric"" OR ""Leoni"" OR ""Nemak"" OR ""IAC"":case sensitive=true OR ""Linamar"" OR ""Yokohama Rubber"" OR ""Tokai Rika"" OR ""Webasto"" OR ""TI Automotive"" OR ""TS-Tech"" OR ""Mann + Hummel"" OR ""CITIC Dicastal"" OR ""Ningbo Joyson Electronics"" OR ""Saint-Gobain"" OR ""Nexteer Automotive"" OR ""NXP Semiconductors"" OR ""NHK Spring"" OR ""Futaba Industrial"" OR ""Martinrea International Inc."" OR ""Infineon"" OR ""Renesas"" OR ""Cooper Standard"" OR ""Hutchinson"" OR ""Stanley Electric"" OR ""Knorr-Bremse"" OR ""CIE-Automotive"" OR ""Sumitomo Riko"" OR ""Asahi Glass"" OR ""Rheinmetall Automotive"" OR ""Toyo Tire & Rubber"" OR ""Meritor"" OR ""Eaton"" OR ""Wabco"" OR ""Illinois Tool Works"" OR ""LG Electronics"" OR ""Aunde"" OR ""Honeywell"" OR ""Visteon""):field=author↵↵)",
Fahrassistenzsysteme,"(fahrassistenzsystem* OR fahrassistenzsysteme OR Ampelassistent OR Anhänger-Stabilitätsprogramm OR Antiblockiersystem OR ABS:case sensitive=true OR Antriebsschlupfregelung OR ASR:case sensitive=true OR Traktionskontrolle OR ""Automatische Stabilitäts Control"" OR Aufmerksamkeits-Assistent OR Fahrerzustandserkennung OR Müdigkeitserkennung OR Bergabfahrhilfe OR Berganfahrhilfe OR Beschleunigungs-Assistent OR Bremsassistent OR Fahrzeug-Umgebungs-Kommunikation OR ""Elektronische Dämpferregelung"" OR Einparkhilfe* OR Parksensor* OR (Elektromechanisch* OR Elektrohydraulisch*) NEAR/5p angetriebene* NEAR/5p Servolenkung OR ""Elektronische Differentialsperre"" OR ""Elektronische Stabilitätskontrolle"" OR Fahrdynamikregelung OR ""Elektronisches Stabilitätsprogramm"" OR ESP:case sensitive=true OR ""Adaptiver Fernlichtassistent"" OR Geschwindigkeitsregelanlage OR Tempomat OR Abstandsregeltempomat OR ""Automatische Distanzregelung"" OR Stauassistent OR ""Intelligente Geschwindigkeitsassistenz"" OR Geschwindigkeitswarnsystem OR ""Kollisionswarn- und Schutzsystem"" OR Kurvenlicht OR ""Adaptives Frontbeleuchtungssystem"" OR Abbiegelicht OR Motor-Schleppmoment-Regelung OR Nachtsicht-Assistent OR Notbremsassistent OR Abstandswarner OR Notbremssignalisierung OR ""Autonomes Notbremssystem"" OR ""Vorausschauender Notbremsassistent"" OR Nothaltesystem OR Reifendruckkontrollsystem OR Parkdistanzkontrolle OR Scheibenwischer-Automatik OR Regensensor OR Spurerkennungssystem OR Spurhalteassistent OR Spurleitassistent OR Spurverlassenswarner OR Spurwechselassistent  OR Totwinkel-Überwachung OR Spurwechselunterstützung OR Verkehrszeichenerkennung OR Wankneigungskontrolle OR ""Elektronische Überschlagsvermeidung""):language=de;field=title",
E-Mobility,"(↵    emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*↵):language=de;field=title",
Carsharing,"(↵carsharing OR ""car sharing"" OR ""car-sharing"" OR drivenow OR car2go OR ubeeqo OR flinkster↵↵):language=de;field=title",
Selbstfahrende Autos,(↵(selbstfahend* OR selbstfahrende OR selbstfahrendes) NEAR/5 (auto* OR autos OR fahrzeug* OR fahrzeuge)↵):language=de,field=title
Energieffizienz,"(↵    (emobility OR e-mobility OR ""e mobility"" OR brennstoffzell* OR ""e auto"" OR ""e autos"" OR eauto* OR ""elektro antrieb"" OR ""elektro antriebe"" OR ""elektro antrieben"" OR ""elektro antriebs"" OR ""elektro auto"" OR ""elektro autos"" OR ""elektro fahrzeug"" OR ""elektro fahrzeuge"" OR ""elektro fahrzeugen"" OR ""elektro fahrzeugs"" OR ""elektro mobil"" OR ""elektro mobile"" OR ""elektro mobilen"" OR ""elektro mobils"" OR ""elektro motor"" OR ""elektro motoren"" OR ""elektro motors"" OR ""elektroantrieb*"" OR ""elektroauto*"" OR ""elektrofahr*"" OR ""elektromobil*"" OR elektromotor* OR emobilit*)↵    AND (*effizien* OR energieffizienz OR energieffizient*)↵):language=de;field=title",
